PECy5-5 CD3e,PECy7 CD16-32,DL800 Ly6G,AF700 CD45,APCCy7 CD48,BUV395 CD11b,BUV737 B220,BV605 Ly6C
51.6403,1239.36,-681.257,1752.27,2600.43,627.259,17763.6,128.934
58.8824,-140.921,-267.039,1188.64,392.962,304.615,11834.8,907.365
60.0077,2191.26,-362.088,1676.96,1441.3,4740.71,185.947,3915.82
313.958,2532.7,-438.388,478.109,1809.22,9440.38,1056.29,6221.67
-83.0391,1603.39,-1200.35,564.994,3946.2,1636.11,4579.87,274.527
25.5791,1181.64,-988.629,1965.34,2259.39,415.805,21273.1,1735.31
82.035,294.471,137.56,1020.37,1493.28,-5.872,19386.2,614.097
210.668,3857.49,-365.185,748.574,1076.16,3403.7,591.662,10743.5
-65.5515,850.921,58.6856,1077.55,3250.95,402.895,4464.13,179.913
-101.903,2821.33,-982.882,2019.88,7948.18,11663.3,365.418,22004.1
-148.784,5403.3,-505.447,2865.89,7765.18,13711.2,-31.2512,33903.7
-85.6978,573.875,-733.227,340.181,2884.77,1563.13,5376.45,68.0797
-87.3812,958.873,-475.316,412.214,2406.78,299.114,7276.67,466.976
61.7484,660.693,-453.626,487.963,2166.31,544.283,5561.14,218.273
116.382,36.138,-386.457,817.647,3251.36,862.914,-13.0154,-672.113
149.868,5607.24,3097.66,948.78,-81.106,8026.87,230.402,4414.12
66.3423,514.808,611.092,578.433,3660.75,1947.02,10392.8,76.3326
36.9267,2659.54,6364.88,1115.5,-174.177,6632.44,-99.194,7511.64
-17.3471,2621.34,391.03,3079.26,-103.974,4133.18,427.967,7072.71
123.11,397.994,-2021.24,1177.37,2341.44,543.15,21824.4,211.127
133.692,6660,210.778,2688.94,7211.64,15445.2,254.797,18898
96.3502,241.555,-1480.35,1920.48,1524.59,75.4681,15217.9,1052.73
41.416,4758.35,-680.144,769.241,2410.66,2758.83,-39.5215,8581.41
58.9303,3087.19,649.441,618.076,-292.15,9073.6,-94.7648,2556.76
-38.6575,3808.7,4970.24,2080.6,858.295,20334.9,249.679,3454.25
150.772,5320.98,-1487.8,3774.86,3196.97,16850.5,35.5804,14030.7
58.4324,793.399,866.358,707.219,4322.01,1058.98,11002.3,673.907
-267.406,3823.42,5903.58,1685.03,392.694,8952.49,53.1591,2310.38
213.364,3541.42,1264.76,2521.49,6074.71,7574.63,207.448,67009
99.658,1068.48,49.4196,930.038,3066.25,672.72,9296.49,18.1255
364.524,7.19614,514.005,411.802,2834.19,1105.82,16932.7,-179.834
113.949,3863.35,5663.94,597.515,62.3863,12267.3,576.672,6054.21
-555.673,5324.52,942.923,726.311,-232.056,20534.3,431.211,9183.76
206.146,5272.87,10624.9,663.233,18.5326,6587.64,390.571,2569.73
-123.541,209.198,-323.193,108.435,3321.4,503.704,8816.34,-216.056
-93.4035,4034.63,2922.84,1204.04,-81.3018,11211.3,77.9209,4421.08
-35.5015,4352.1,9441.2,1160.41,-514.376,10736,80.8093,2754.8
18.9979,5560.11,8016.91,1244.18,-402.78,8244.33,62.0232,3806.85
-170.002,943.237,1342.58,561.549,1103.48,356.003,9480.55,35.7592
-56.9563,568.106,970.064,635.555,1716.7,696.554,16198,335.987
606.903,5.93476,-754.198,3966.49,2881.19,486.273,139.655,3990.36
111.625,4595.33,-435.535,1675.59,5327.57,14040.9,308.676,31018.8
78.1117,6300.77,-8.70113,1484.36,5061.42,12341.5,314.42,26568.4
101.616,4967.93,10973.2,2042.86,-30.0958,14315.8,106.96,4885
-55.8389,-6.95745,284.16,104.946,2906.6,1233.45,5553.21,125.966
132.749,5079.96,11008.5,1528.66,-719.029,14061.1,49.8155,3332.96
208.195,258.464,-931.069,2527.13,1791.68,-313.308,26064.6,669.23
-23.1587,3243.86,12529.6,846.609,267.059,7321.07,47.8856,3079.23
-61.0019,3267.8,3144.18,495.11,-160.048,6631.45,-123.897,2715.03
-44.8784,4128.55,6340.26,1137.49,-216.665,11162.4,39.9047,4189.78
-38.7715,4756.85,4844.74,1329.28,-127.671,11003.9,91.4985,3688.91
-38.8548,314.051,-1041.83,889.523,2661.91,684.707,11091.9,164.587
122.479,4516.18,3544.48,999.297,812.607,8173.84,306.041,4626.23
127.573,3495.92,8023.81,955.413,562.537,9828.83,305.783,5329.25
-210.048,562.082,207.488,119.485,2311.69,1300.17,7072.28,170.094
17.0168,4865.3,7305.9,1370.95,-571.68,12238.6,9.04911,4388.97
-51.0901,239.205,-871.382,595.667,2443.03,-16.0027,5992.74,-89.9795
-27.8952,540.951,469.341,332.43,2002.21,673.621,7804.49,94.1942
-221.778,1756.99,-431.367,2544.75,8781.74,3722.33,70.2193,17752.7
151.127,973.298,-617.31,3435.35,4195.03,1614.57,11010.3,698.67
40.2903,173.534,-603.802,-77.0877,-218.264,597.859,361.772,206.52
-16.1875,622.704,-29.377,575.25,1216.2,707.74,6153.39,256.211
4.98505,1711.43,264.225,293.159,1541.45,2533.97,354.415,16708.3
-60.6015,2106.34,216.933,94.5223,177.522,7874.97,36.4518,5233.96
-15.9566,3352.94,5867.81,1332.03,229.46,16394.9,293.385,2763.21
179.885,752.39,-31.4487,413.803,2697.56,532.243,13371.9,125.452
94.3426,-3.98756,506.96,-30.6284,247.517,311.981,64.4038,216.35
125.856,3664.9,4766,1527.28,351.38,23161.9,403.2,2112.23
265.348,639.814,-1305.16,783.748,2776.79,191.997,14982.7,696.08
138.578,5109.52,-1661.78,1921.99,6136.88,13217.1,272.296,47881.4
130.7,5466.92,713.848,771.906,342.479,26999,1873.12,11120.2
237.86,3208.62,7052.64,969.868,1397.98,16958.7,323.743,3630.76
48.7683,1027.55,2143.73,-33.218,157.893,11308,153.902,1686.83
144.539,3646.29,9682.17,2249.62,565.871,18822.5,-0.902979,8742.27
501.155,8702.15,659.99,10069.8,7475.24,22181.4,-379.377,17152.9
356.113,2352.69,-600.079,729.227,1579.57,6797.7,-63.6413,3830.67
-80.6555,3288.68,2873.31,661.698,-584.718,7796.32,280.149,2872.84
66.8406,523.515,1871.76,1966.43,831.602,1274.3,21125.6,-815.874
96.9341,582.241,534.668,100.362,2636.57,1001.8,7963.5,-80.5138
97.7349,3734.04,3488.66,859.758,356.59,8296.31,-127.174,1690.53
-25.2686,331.726,-559.055,301.659,1489.98,419.028,6251.48,-79.5151
215.455,836.849,-1265.18,1484.49,15732.1,3979.19,976.571,14326.9
100.104,2987.42,4700.05,1153.12,70.1773,9295.92,-140.647,5938.29
303.388,823.248,889.56,1397.64,2412.99,652.108,16327.1,-87.1579
-114.119,1591.25,1753.7,376.285,-101.584,11500.3,107.443,3800.93
-102.164,4565.19,4205.51,975.787,121.48,10534.5,240.799,2390.02
72.864,-92.1179,1166.06,849.59,2158.73,1002.75,16499.5,8267.54
-51.8462,3197.08,9070.38,1180.47,-14.7351,12905.2,209.865,5258.36
-17.1037,407.107,613.247,90.7858,1505.77,380.711,7233.24,-25.8574
12.591,3279.92,14306.8,1333.74,631.766,11946.9,274.153,6118.8
82.0495,4775.1,9356.38,920.944,-19.6635,8802.11,408.943,1244.62
-193.68,4243.3,6034.19,808.232,429.733,10515.9,431.291,2372.53
160.975,4586.83,6609,947.019,-377.558,15131.9,76.4229,2973.44
-273.189,-162.008,-822.416,1110.46,4684.63,1891.07,-114.166,103.006
169.753,2240.51,-1966.5,4026.05,6160.78,1156.25,30198.7,-39.9353
1610.87,463.223,-2772.65,5308.47,4605.1,632.076,932.782,46860.5
-11.1547,72.1706,-401.756,2166.02,2269.46,-168.555,20930.7,-598.575
62.877,208.295,-710.364,-166.579,1145.19,701.321,2230.92,220.921
-15.4217,7558.14,-939.232,3087.86,5915.24,14778.6,79.9378,56388.8
-143.912,1045.95,163.98,500.507,669.585,429.933,9843.13,739.091
48.2424,6373.1,12433.4,878.418,-883.743,6253.23,-250.311,4095.57
57.0862,5470.67,8951.63,2457.72,138.157,15770.5,273.566,3178.97
9926.79,107.517,-1404.96,11624.3,5245.45,5521.19,-127.555,7884.12
18.2528,4233.32,7440.94,1077.43,805.666,10003.9,117.825,1904.96
-112.14,4131.4,8539.97,941.27,632.217,6766.63,472.506,6991.52
49.8447,4404.34,10353.8,1696.02,-1096.83,25796.5,223.46,1806.68
-48.3659,3233.4,9080.43,1712.7,1173.46,18948.4,249.378,2201.38
-149.736,214.432,393.838,-290.977,3007.49,741.752,7966.12,180.186
51.3517,4121.54,8087.5,915.588,30.8984,13844.9,380.19,2918.9
53.223,3601.07,2909.51,444.212,-363.723,9930.66,-2.45066,1777.96
